Argument ID	Self-direction: thought	Self-direction: action	Stimulation	Hedonism	Achievement	Power: dominance	Power: resources	Face	Security: personal	Security: societal	Tradition	Conformity: rules	Conformity: interpersonal	Humility	Benevolence: caring	Benevolence: dependability	Universalism: concern	Universalism: nature	Universalism: tolerance	Universalism: objectivity
C26001	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C26002	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C26003	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
C26004	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
C26005	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
C26006	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C26007	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
C26008	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
C26009	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
C26010	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
C26011	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
C26012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
C26013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
C26014	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
C26015	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
C26016	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
C26017	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0
C26018	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C26019	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
C26020	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
C26021	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0
C26022	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0
C26023	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
C26024	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0
C26025	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
C26026	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0
C26027	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
C26028	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
C26029	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
C26030	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
C26031	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0
C26032	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
C26033	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
C26034	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
C26035	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
C26036	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
C26037	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
C26038	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
C26039	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0
C26040	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
C26041	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0
C26042	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
C26043	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C26044	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C26045	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
C26046	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
C26047	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C26048	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
C26049	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
C26050	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
C26051	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
C26052	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
C26053	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
C26054	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0
C26055	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
C26056	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
C26057	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0
C26058	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
C26059	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
C26060	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
C26061	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
C26062	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
C26063	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
C26064	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0
C26065	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
C26066	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0
C26067	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
C26068	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
C26069	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
C26070	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
C26071	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
C26072	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0
C26073	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
C26074	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
C26075	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0
C26076	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
C26077	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0
C26078	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
C26079	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
C26080	1	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
C26081	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C26082	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
C26083	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
C26084	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
C26085	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
C26086	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0
C26087	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0
C26088	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
C26089	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
C26090	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
C26091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
C26092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
C26093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
C26094	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0
C26095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
C26096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
C26097	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
C26098	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C26099	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
C26100	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
